journey_id,date,lat,lon,course,prev_course,course_change,prev_time,storm_id,storm_name,storm_lat,storm_lon,storm_wind,storm_distance_nm,storm_time,shipid,speed_kn,source,nav_status,draught,mmsi,destination,destination_lat,destination_lon,wave_height,wave_direction,wave_period,wind_wave_height,wind_wave_direction,wind_wave_period,swell_wave_height,swell_wave_direction,swell_wave_period,ocean_current_velocity,ocean_current_direction,wind_speed_10m,wind_direction_10m
3,2024-08-06 18:32:00,29.870703,-76.736137,357.0,0.0,357.0,2024-08-06 17:27:04,AL042024,DEBBY,31.8,-79.7,45,191.72631450184295,2024-08-07 06:00:00,327290,9.1,Roaming,0,9.3,338058000,Charleston,32.79,-79.925,2.96,185.0,7.05,2.44,189.0,5.9,1.2,158.0,6.6,0.4,270.0,41.1,183.0
3,2024-08-06 19:42:00,30.057343,-76.721588,9.0,357.0,348.0,2024-08-06 18:32:00,AL042024,DEBBY,31.8,-79.7,45,185.6693349877693,2024-08-07 06:00:00,327290,10.1,Roaming,0,9.3,338058000,Charleston,32.79,-79.925,3.06,189.0,7.2,2.56,187.0,5.95,1.28,205.0,7.2,0.6,288.0,47.9,181.0
3,2024-08-06 23:07:34,30.472061,-76.628555,195.0,12.0,183.0,2024-08-06 22:07:29,AL042024,DEBBY,31.8,-79.7,45,176.82769011242783,2024-08-07 06:00:00,327290,6.6,Roaming,0,9.3,338058000,Charleston,32.79,-79.925,3.28,191.0,7.4,2.72,184.0,6.15,1.52,243.0,7.6,0.7,256.0,45.7,180.0
3,2024-08-07 10:48:36,29.523773,-77.104698,16.0,202.0,186.0,2024-08-07 10:14:00,AL042024,DEBBY,32.2,-79.3,50,196.5069598747323,2024-08-07 12:00:00,327290,10.3,Roaming,0,9.3,338058000,Charleston,32.79,-79.925,2.96,204.0,6.85,2.56,203.0,5.75,1.04,120.0,6.45,0.9,53.0,51.5,192.0
3,2024-08-07 11:38:41,29.676493,-77.067917,348.0,16.0,332.0,2024-08-07 10:48:36,AL042024,DEBBY,32.2,-79.3,50,190.1688013461194,2024-08-07 12:00:00,327290,10.1,Roaming,0,9.3,338058000,Charleston,32.79,-79.925,3.14,206.0,7.05,2.68,202.0,5.9,1.16,286.0,7.45,0.6,56.0,49.6,189.0
3,2024-08-08 13:31:10,32.273205,-79.283424,91.0,359.0,268.0,2024-08-08 13:24:19,AL042024,DEBBY,33.0,-79.6,40,46.47999059692156,2024-08-08 06:00:00,327290,6.8,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,2.1,195.0,6.4,1.54,230.0,4.65,1.14,141.0,6.7,2.6,65.0,45.5,231.0
3,2024-08-08 13:34:39,32.271145,-79.276367,122.0,91.0,31.0,2024-08-08 13:31:10,AL042024,DEBBY,33.0,-79.6,40,46.71995837295392,2024-08-08 06:00:00,327290,6.0,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,2.1,195.0,6.4,1.54,230.0,4.65,1.14,141.0,6.7,2.6,65.0,45.5,231.0
3,2024-08-08 14:02:40,32.243092,-79.294586,275.0,239.0,36.0,2024-08-08 14:00:33,AL042024,DEBBY,33.0,-79.6,40,47.997731631510334,2024-08-08 06:00:00,327290,5.8,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,2.12,197.0,6.45,1.56,231.0,4.7,1.16,145.0,6.7,2.3,72.0,45.1,231.0
3,2024-08-08 14:14:40,32.244633,-79.314537,203.0,246.0,43.0,2024-08-08 14:12:34,AL042024,DEBBY,33.0,-79.6,40,47.59446137596335,2024-08-08 06:00:00,327290,4.3,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,2.12,197.0,6.45,1.56,231.0,4.7,1.16,145.0,6.7,2.3,72.0,45.1,231.0
3,2024-08-08 14:41:00,32.233833,-79.271187,24.0,96.0,72.0,2024-08-08 14:31:31,AL042024,DEBBY,33.0,-79.6,40,48.91416536745134,2024-08-08 06:00:00,327290,8.3,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,2.12,195.0,6.45,1.56,228.0,4.65,1.24,148.0,6.75,2.6,78.0,45.9,232.0
3,2024-08-08 14:45:40,32.242764,-79.270256,349.0,4.0,345.0,2024-08-08 14:43:20,AL042024,DEBBY,33.0,-79.6,40,48.426130444945436,2024-08-08 06:00:00,327290,6.3,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,2.12,195.0,6.45,1.56,228.0,4.65,1.24,148.0,6.75,2.6,78.0,45.9,232.0
3,2024-08-08 16:29:00,32.401775,-79.4095,22.0,339.0,317.0,2024-08-08 16:27:00,AL042024,DEBBY,33.0,-79.6,40,37.184909614827504,2024-08-08 06:00:00,327290,6.9,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,2.04,195.0,6.3,1.56,227.0,4.65,1.08,138.0,6.8,2.6,78.0,43.8,224.0
3,2024-08-08 16:31:00,32.404232,-79.406418,64.0,22.0,42.0,2024-08-08 16:29:00,AL042024,DEBBY,33.0,-79.6,40,37.08316592184765,2024-08-08 06:00:00,327290,6.3,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,2.06,194.0,6.25,1.58,224.0,4.65,1.1,138.0,6.9,2.6,78.0,45.1,227.0
3,2024-08-08 16:33:35,32.404659,-79.401611,101.0,64.0,37.0,2024-08-08 16:31:00,AL042024,DEBBY,33.0,-79.6,40,37.123265477555265,2024-08-08 06:00:00,327290,5.4,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,2.06,194.0,6.25,1.58,224.0,4.65,1.1,138.0,6.9,2.6,78.0,45.1,227.0
3,2024-08-08 16:36:27,32.402859,-79.39772,134.0,101.0,33.0,2024-08-08 16:33:35,AL042024,DEBBY,33.0,-79.6,40,37.28077371962566,2024-08-08 06:00:00,327290,4.4,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,2.06,194.0,6.25,1.58,224.0,4.65,1.1,138.0,6.9,2.6,78.0,45.1,227.0
3,2024-08-08 16:41:27,32.398922,-79.39595,225.0,181.0,44.0,2024-08-08 16:40:00,AL042024,DEBBY,33.0,-79.6,40,37.53268051220318,2024-08-08 06:00:00,327290,1.7,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,2.06,194.0,6.25,1.58,224.0,4.65,1.1,138.0,6.9,2.6,78.0,45.1,227.0
3,2024-08-08 16:43:27,32.399433,-79.397202,321.0,225.0,96.0,2024-08-08 16:41:27,AL042024,DEBBY,33.0,-79.6,40,37.48583320638065,2024-08-08 06:00:00,327290,3.2,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,2.06,194.0,6.25,1.58,224.0,4.65,1.1,138.0,6.9,2.6,78.0,45.1,227.0
3,2024-08-08 19:52:29,32.659565,-79.676163,295.0,331.0,36.0,2024-08-08 19:50:22,AL042024,DEBBY,33.7,-80.0,40,64.55290030616769,2024-08-08 12:00:00,327290,7.2,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,1.58,192.0,5.8,1.3,217.0,4.2,0.84,135.0,6.85,1.5,60.0,44.3,207.0
3,2024-08-08 20:58:12,32.787365,-79.915863,334.0,297.0,37.0,2024-08-08 20:50:22,AL042024,DEBBY,33.7,-80.0,40,54.957655069686254,2024-08-08 12:00:00,327290,8.5,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,0.86,184.0,5.55,0.48,235.0,2.75,0.54,139.0,6.7,0.6,56.0,21.3,214.0
3,2024-08-08 21:00:51,32.793861,-79.916939,4.0,334.0,330.0,2024-08-08 20:58:12,AL042024,DEBBY,33.7,-80.0,40,54.56462640638344,2024-08-08 12:00:00,327290,9.3,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,0.72,187.0,5.35,0.38,253.0,2.45,0.46,139.0,6.7,0.6,56.0,21.3,214.0
3,2024-08-08 21:07:52,32.81057,-79.91568,343.0,4.0,339.0,2024-08-08 21:00:51,AL042024,DEBBY,33.7,-80.0,40,53.56932756062042,2024-08-08 12:00:00,327290,7.6,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,0.86,184.0,5.55,0.48,235.0,2.75,0.54,139.0,6.7,0.6,56.0,21.3,214.0
3,2024-08-08 21:18:02,32.830059,-79.929298,2.0,345.0,343.0,2024-08-08 21:16:01,AL042024,DEBBY,33.7,-80.0,40,52.3521144357487,2024-08-08 12:00:00,327290,8.8,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,0.72,187.0,5.35,0.38,253.0,2.45,0.46,139.0,6.7,0.6,56.0,12.7,262.0
3,2024-08-08 21:24:12,32.843681,-79.92907,349.0,1.0,348.0,2024-08-08 21:22:12,AL042024,DEBBY,33.7,-80.0,40,51.53692546528678,2024-08-08 12:00:00,327290,7.2,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,0.94,182.0,5.65,0.62,229.0,3.1,0.58,139.0,6.8,0.6,56.0,12.7,262.0
3,2024-08-08 21:29:31,32.8521,-79.936432,292.0,327.0,35.0,2024-08-08 21:27:22,AL042024,DEBBY,33.7,-80.0,40,51.00820382233301,2024-08-08 12:00:00,327290,7.7,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,0.94,182.0,5.65,0.62,229.0,3.1,0.58,139.0,6.8,0.6,56.0,12.7,262.0
3,2024-08-08 21:50:12,32.883255,-79.96595,4.0,348.0,344.0,2024-08-08 21:43:51,AL042024,DEBBY,33.7,-80.0,40,49.067511304544965,2024-08-08 12:00:00,327290,5.5,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,0.94,182.0,5.8,0.62,229.0,2.65,0.58,139.0,6.4,0.8,45.0,11.3,239.0
3,2024-08-08 22:11:32,32.905262,-79.95237,168.0,56.0,112.0,2024-08-08 22:09:32,AL042024,DEBBY,33.7,-80.0,40,47.77625607394576,2024-08-08 12:00:00,327290,1.3,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,0.94,182.0,5.8,0.62,229.0,2.65,0.58,139.0,6.4,0.8,45.0,15.6,220.0
3,2024-08-08 22:13:35,32.904541,-79.95295,252.0,168.0,84.0,2024-08-08 22:11:32,AL042024,DEBBY,33.7,-80.0,40,47.81804574482427,2024-08-08 12:00:00,327290,1.6,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,0.94,182.0,5.8,0.62,229.0,2.65,0.58,139.0,6.4,0.8,45.0,15.6,220.0
3,2024-08-08 22:15:41,32.904873,-79.953522,1.0,252.0,251.0,2024-08-08 22:13:35,AL042024,DEBBY,33.7,-80.0,40,47.796727243873505,2024-08-08 12:00:00,327290,0.9,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,0.94,182.0,5.8,0.62,229.0,2.65,0.58,139.0,6.4,0.8,45.0,15.6,220.0
3,2024-08-08 22:17:41,32.905342,-79.95327,40.0,1.0,39.0,2024-08-08 22:15:41,AL042024,DEBBY,33.7,-80.0,40,47.7692205919774,2024-08-08 12:00:00,327290,0.9,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,0.94,182.0,5.8,0.62,229.0,2.65,0.58,139.0,6.4,0.8,45.0,15.6,220.0
3,2024-08-08 22:23:52,32.906586,-79.953094,303.0,15.0,288.0,2024-08-08 22:19:42,AL042024,DEBBY,33.7,-80.0,40,47.695054643605594,2024-08-08 12:00:00,327290,0.5,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,0.94,182.0,5.8,0.62,229.0,2.65,0.58,139.0,6.4,0.8,45.0,15.6,220.0
3,2024-08-08 22:44:21,32.90686,-79.953896,107.0,299.0,192.0,2024-08-08 22:41:00,AL042024,DEBBY,33.7,-80.0,40,47.67665368432466,2024-08-08 12:00:00,327290,0.0,Terrestrial,0,9.3,338058000,Charleston,32.79,-79.925,0.94,182.0,5.95,0.62,229.0,2.05,0.58,139.0,5.9,0.8,27.0,12.8,218.0
3,2024-08-08 23:08:58,32.906857,-79.953888,28.0,107.0,79.0,2024-08-08 22:44:21,AL042024,DEBBY,33.7,-80.0,40,47.67685307634628,2024-08-08 12:00:00,327290,0.0,Roaming,0,9.3,338058000,Charleston,32.79,-79.925,0.94,182.0,5.95,0.62,229.0,2.05,0.58,139.0,5.9,0.8,27.0,12.8,218.0
3,2024-08-08 23:31:11,32.90686,-79.953896,80.0,28.0,52.0,2024-08-08 23:08:58,AL042024,DEBBY,33.7,-80.0,40,47.67665368432466,2024-08-08 12:00:00,327290,0.0,Terrestrial,5,9.3,338058000,Charleston,32.79,-79.925,0.94,182.0,5.95,0.62,229.0,2.05,0.58,139.0,5.9,0.8,27.0,12.8,218.0
3,2024-08-08 23:43:00,32.906868,-79.953896,134.0,80.0,54.0,2024-08-08 23:31:11,AL042024,DEBBY,33.7,-80.0,40,47.676173921353744,2024-08-08 12:00:00,327290,0.0,Terrestrial,5,9.3,338058000,,,,0.94,182.0,5.95,0.62,229.0,2.05,0.58,139.0,5.9,0.8,27.0,12.8,218.0
3,2024-08-09 00:16:11,32.906868,-79.953888,305.0,134.0,171.0,2024-08-08 23:43:00,AL042024,DEBBY,34.6,-80.3,40,103.11402307827714,2024-08-08 18:00:00,327290,0.0,Terrestrial,5,9.3,338058000,,,,0.92,166.0,6.05,0.26,235.0,1.65,0.64,165.0,5.55,0.9,11.0,7.3,200.0
3,2024-08-09 00:37:12,32.906868,-79.953896,220.0,305.0,85.0,2024-08-09 00:16:11,AL042024,DEBBY,34.6,-80.3,40,103.11395617378585,2024-08-08 18:00:00,327290,0.0,Terrestrial,5,9.3,338058000,,,,0.92,163.0,6.1,0.26,226.0,1.65,0.7,162.0,5.45,1.1,18.0,7.2,186.0
3,2024-08-09 00:46:00,32.906868,-79.953896,297.0,220.0,77.0,2024-08-09 00:37:12,AL042024,DEBBY,34.6,-80.3,40,103.11395617378585,2024-08-08 18:00:00,327290,0.0,Terrestrial,5,9.3,338058000,,,,0.92,163.0,6.1,0.26,226.0,1.65,0.7,162.0,5.45,1.1,18.0,7.2,186.0
3,2024-08-09 01:22:11,32.906864,-79.953896,239.0,315.0,76.0,2024-08-09 00:58:12,AL042024,DEBBY,34.6,-80.3,40,103.1141930072895,2024-08-08 18:00:00,327290,0.0,Terrestrial,5,9.3,338058000,,,,0.92,163.0,6.1,0.26,226.0,1.65,0.7,162.0,5.45,1.1,18.0,7.2,186.0
3,2024-08-09 01:49:00,32.90686,-79.953888,27.0,239.0,212.0,2024-08-09 01:22:11,AL042024,DEBBY,34.6,-80.3,40,103.11449674499826,2024-08-08 18:00:00,327290,0.0,Roaming,5,9.3,338058000,,,,0.94,161.0,6.1,0.24,218.0,1.9,0.78,160.0,5.5,1.3,34.0,2.8,130.0
3,2024-08-09 02:49:00,32.906868,-79.953896,297.0,29.0,268.0,2024-08-09 02:31:15,AL042024,DEBBY,34.6,-80.3,40,103.11395617378585,2024-08-08 18:00:00,327290,0.0,Terrestrial,5,9.3,338058000,,,,0.94,158.0,6.1,0.24,209.0,2.05,0.84,157.0,5.5,1.4,40.0,7.4,14.0
