journey_id,storm_id,storm_name,system_status,lat,lon,max_sustained_wind,datetime,system_status_desc
3,AL022024,BERYL,TS,20.9,-88.8,60,2024-07-05 18:00:00,Tropical Storm (34-63 knots)
3,AL022024,BERYL,TS,21.4,-89.8,50,2024-07-06 00:00:00,Tropical Storm (34-63 knots)
3,AL022024,BERYL,TS,21.9,-90.9,45,2024-07-06 06:00:00,Tropical Storm (34-63 knots)
3,AL022024,BERYL,TS,22.6,-91.8,50,2024-07-06 12:00:00,Tropical Storm (34-63 knots)
3,AL022024,BERYL,TS,23.6,-92.7,50,2024-07-06 18:00:00,Tropical Storm (34-63 knots)
3,AL022024,BERYL,TS,24.4,-93.6,50,2024-07-07 00:00:00,Tropical Storm (34-63 knots)
3,AL022024,BERYL,TS,24.9,-94.3,50,2024-07-07 06:00:00,Tropical Storm (34-63 knots)
3,AL022024,BERYL,TS,25.5,-94.9,55,2024-07-07 12:00:00,Tropical Storm (34-63 knots)
3,AL022024,BERYL,TS,26.3,-95.4,55,2024-07-07 18:00:00,Tropical Storm (34-63 knots)
3,AL022024,BERYL,TS,27.1,-95.7,60,2024-07-08 00:00:00,Tropical Storm (34-63 knots)
3,AL022024,BERYL,HU,28.2,-95.9,70,2024-07-08 06:00:00,Hurricane (>64 knots)
3,AL022024,BERYL,HU,28.6,-96.0,80,2024-07-08 08:40:00,Hurricane (>64 knots)
3,AL022024,BERYL,HU,29.3,-96.0,70,2024-07-08 12:00:00,Hurricane (>64 knots)
3,AL022024,BERYL,TS,30.7,-95.6,50,2024-07-08 18:00:00,Tropical Storm (34-63 knots)
3,AL042024,DEBBY,TS,23.1,-82.6,35,2024-08-03 18:00:00,Tropical Storm (34-63 knots)
3,AL042024,DEBBY,TS,23.9,-83.2,35,2024-08-04 00:00:00,Tropical Storm (34-63 knots)
3,AL042024,DEBBY,TS,25.0,-83.8,40,2024-08-04 06:00:00,Tropical Storm (34-63 knots)
3,AL042024,DEBBY,TS,26.2,-84.3,50,2024-08-04 12:00:00,Tropical Storm (34-63 knots)
3,AL042024,DEBBY,TS,27.3,-84.3,60,2024-08-04 18:00:00,Tropical Storm (34-63 knots)
3,AL042024,DEBBY,HU,28.3,-84.1,70,2024-08-05 00:00:00,Hurricane (>64 knots)
3,AL042024,DEBBY,HU,29.1,-83.9,70,2024-08-05 06:00:00,Hurricane (>64 knots)
3,AL042024,DEBBY,HU,29.7,-83.5,70,2024-08-05 11:00:00,Hurricane (>64 knots)
3,AL042024,DEBBY,HU,29.9,-83.4,65,2024-08-05 12:00:00,Hurricane (>64 knots)
3,AL042024,DEBBY,TS,30.4,-83.0,50,2024-08-05 18:00:00,Tropical Storm (34-63 knots)
3,AL042024,DEBBY,TS,30.8,-82.3,45,2024-08-06 00:00:00,Tropical Storm (34-63 knots)
3,AL042024,DEBBY,TS,31.3,-81.8,45,2024-08-06 06:00:00,Tropical Storm (34-63 knots)
3,AL042024,DEBBY,TS,31.8,-81.4,40,2024-08-06 12:00:00,Tropical Storm (34-63 knots)
3,AL042024,DEBBY,TS,32.0,-81.1,40,2024-08-06 18:00:00,Tropical Storm (34-63 knots)
3,AL042024,DEBBY,SS,31.9,-80.4,40,2024-08-07 00:00:00,Subtropical Storm (>34 knots)
3,AL042024,DEBBY,SS,31.8,-79.7,45,2024-08-07 06:00:00,Subtropical Storm (>34 knots)
3,AL042024,DEBBY,SS,32.2,-79.3,50,2024-08-07 12:00:00,Subtropical Storm (>34 knots)
3,AL042024,DEBBY,SS,32.5,-79.2,50,2024-08-07 18:00:00,Subtropical Storm (>34 knots)
