lat_int,lon_int,count
51,3,38674
39,-76,33956
50,-1,32165
53,8,22762
51,2,20331
50,0,19138
31,-81,16116
40,-74,14285
44,-63,14074
57,11,10128
36,-75,9271
37,-76,9187
31,-80,8751
53,7,8365
38,-76,6025
32,-79,6023
30,-81,5388
51,4,5316
40,-73,5037
53,4,4206
51,1,3911
52,3,3748
50,-2,3291
54,18,2937
53,6,2768
49,-4,2756
49,-5,2597
52,2,2252
30,-80,2176
36,-74,2114
49,0,2080
41,-71,2062
53,5,2042
49,-3,2035
31,-79,1966
35,-75,1869
34,-75,1838
32,-78,1829
44,-62,1585
49,-6,1495
54,7,1437
33,-77,1401
50,1,1329
57,10,1307
50,-3,1212
40,-72,1147
57,8,1084
57,9,1072
40,-71,1064
56,7,1042
33,-76,947
40,-70,907
34,-76,903
36,-76,896
35,-74,889
37,-74,887
49,-7,846
40,-68,840
55,6,836
48,-6,776
36,-73,754
32,-81,724
19,-96,718
43,-64,709
40,-69,692
49,-8,682
39,-73,682
38,-74,643
53,0,612
42,-65,601
36,-72,596
42,-8,581
41,-66,566
29,-94,559
49,-9,488
43,-51,461
43,-50,453
48,-7,444
22,-97,443
40,-58,440
49,-10,440
54,5,438
49,-11,433
41,-55,424
44,-61,418
37,-69,417
39,-75,416
40,-57,413
36,-71,409
48,-5,407
40,-67,403
39,-61,387
32,-80,377
37,-68,364
32,-77,361
42,-53,358
37,-70,355
48,-8,350
41,-56,346
41,-67,346
37,-73,342
42,-52,338
40,-59,334
49,-12,334
39,-62,333
56,6,331
44,-60,328
49,-13,326
38,-65,319
57,7,319
46,-40,318
36,-70,315
55,8,314
31,-78,312
49,-41,311
44,-48,310
54,0,307
49,-17,304
49,-14,303
49,-16,302
30,-79,301
49,-15,301
44,-47,300
38,-73,300
38,-66,298
48,-30,296
42,-54,296
52,1,295
46,-42,294
37,-75,293
46,-41,292
49,-2,290
48,-32,289
56,11,288
53,3,288
39,-63,287
42,-64,287
55,7,285
45,-44,284
49,-18,284
48,-9,282
43,-60,282
43,-61,279
37,-71,278
49,-19,274
37,-72,273
36,-66,270
39,-60,268
43,-52,266
48,-31,265
49,-22,264
58,11,261
45,-45,259
45,-13,258
49,-24,256
55,5,255
49,-20,255
40,-60,251
43,-49,249
43,-63,248
47,-37,247
47,-36,247
49,-21,247
43,-59,243
44,-59,241
38,-67,241
49,-23,240
37,-27,236
36,-69,236
47,-35,234
55,21,234
48,-10,234
47,-7,232
49,-26,232
36,-67,232
48,-29,231
38,-64,231
47,-9,231
49,-25,231
44,-49,230
44,-9,229
47,-38,229
48,-33,225
30,-78,225
37,-63,224
36,-68,223
37,-28,222
43,-58,221
37,-67,221
43,-22,219
41,-54,217
42,-9,212
45,-43,210
40,-56,209
49,-27,208
55,11,205
43,-57,205
54,12,204
41,-47,204
59,10,202
45,-56,202
45,-8,201
37,-64,201
45,-46,201
43,-3,201
47,-10,200
52,4,200
43,-28,199
46,-52,198
37,-29,197
48,-11,197
54,10,197
36,-6,197
43,-23,195
43,-53,194
39,-72,191
47,-6,190
43,-21,187
54,4,187
46,-43,187
41,-46,187
36,-65,184
47,-39,184
44,-46,183
43,-56,182
47,-8,182
47,-14,181
43,-48,180
41,-48,179
47,-12,178
48,-34,177
39,-64,177
43,-10,175
45,-55,173
43,-26,172
42,-23,172
55,10,172
47,-11,171
46,-51,170
42,-51,170
46,-39,169
46,-7,169
30,-77,169
41,-52,168
44,-58,168
37,-60,168
36,-57,168
41,-49,167
38,-50,166
43,-27,164
43,-54,164
43,-24,164
43,-55,162
45,-57,160
40,-41,160
47,-15,159
46,-11,159
40,-42,159
40,-54,158
44,-26,158
42,-19,158
37,-66,158
46,-16,157
43,-62,156
42,-49,156
42,-34,156
37,-65,155
36,-54,155
36,-56,155
48,-28,154
42,-22,154
46,-13,153
38,-45,153
38,-48,152
39,-37,151
46,-12,151
39,-59,151
43,-31,151
42,-50,151
43,-47,151
42,-29,151
41,-38,151
40,-43,150
35,-59,149
30,-76,149
39,-48,149
49,-28,149
37,-62,149
41,-43,148
40,-40,148
36,-58,148
47,-34,148
46,-10,148
42,-33,147
40,-55,147
43,-37,147
36,-64,147
65,24,147
41,-45,146
46,-53,146
