from_port_name,from_port_uuid,from_port_unlocode,from_port_lon,from_port_lat,to_port_name,to_port_uuid,to_port_unlocode,to_port_lon,to_port_lat,route_index,lat,lon,total_dist_nm
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,1,53.5589,8.5367,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,2,53.9,8.25,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,3,54.288,7.1488,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,4,54.7649,5.7952999999999975,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,5,54.9603,5.2407,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,6,54.9609,5.239,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,7,55.3049,4.2627,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,8,55.4414,3.8752,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,9,55.7068,3.1218,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,10,55.8457,2.7276,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,11,56.3304,1.352,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,12,57.3,-1.4,6391.7062
BREMERHAVEN,6b921397-6fc7-c2f7-1c01-3a7b2196ff60,DEBRV,8.548876,53.55088,NEW YORK,8473f382-0a3d-a5ae-47d6-2faa7e549793,USNYC,-74.0829,40.6759,13,57.664,-1.746,6391.7062
