uuid,name,name_ais,mmsi,imo,eni,country_iso,country_name,callsign,type,type_specific,gross_tonnage,deadweight,teu,liquid_gas,length,breadth,draught_avg,draught_max,speed_avg,speed_max,year_built,is_navaid,home_port
084a1221-1dcf-9062-b217-042743f6695b,DON PASQUALE,DON PASQUALE,259023000,9138513,,NO,Norway,LATF8,Cargo,Vehicles Carrier,67141.0,28142.0,,,227.9,32.29,8.0,8.0,8.7,19.0,1997,False,
090a81fa-6715-6918-f70a-3f923b741b18,TARIFA,TARIFA,309847000,9327748,,BS,Bahamas,C6VT6,Cargo,Vehicles Carrier,57692.0,21120.0,,,199.95,32.28,9.3,9.3,11.0,22.0,2007,False,NASSAU
3eab33b6-a96b-4b03-596e-0d342300cf57,DON QUIJOTE,DON QUIJOTE,257264000,9138525,,NO,Norway,LATE8,Cargo,Vehicles Carrier,67141.0,28142.0,,,227.9,32.29,9.0,9.0,11.7,20.0,1998,False,
56ef8d5f-cf1c-1f0c-8e3e-90197debd97b,MORNING CORNET,MORNING CORNET,636018238,9329473,,LR,Liberia,D5OU4,Cargo,Vehicles Carrier,57542.0,21051.0,,,199.98,32.3,9.1,9.1,12.8,21.0,2007,False,MONROVIA
5ee00834-7412-efd4-164b-30eb2e66cdaa,AUTO ECO,AUTO ECO,255805907,9736365,,PT,Portugal,CQIA7,Cargo,Vehicles Carrier,42424.0,16995.0,,,181.0,32.0,7.2,7.2,13.9,21.0,2016,False,
7189c709-431a-bf25-9315-dae6e6cc5972,MORNING CALYPSO,MORNING CALYPSO,351628000,9638460,,PA,Panama,3FIK5,Cargo,Vehicles Carrier,59580.0,18713.0,,,199.97,32.26,8.70156931124673,9.8,10.4,22.0,2013,False,PANAMA
933b4092-0cd1-7c4c-b248-2176e26a719b,GLOVIS SUN,GLOVIS SUN,440255000,9749568,,KR,South Korea,D7GZ,Cargo,Vehicles Carrier,65748.0,19638.0,,,199.97,35.0,9.5,9.5,10.4,20.0,2015,False,
b78c44b4-9388-0036-80d2-f5b87a1e7d12,ARC INDEPENDENCE,ARC INDEPENDENCE,338794000,9332925,,US,USA,WAIE,,Vehicles Carrier,72118.0,30200.0,,,227.8,32.26,9.7,9.7,12.8,21.0,2007,False,
b8ec9dce-7e1a-6e3c-1ad7-7f0c3dbadc1c,EUPHONY ACE,EUPHONY ACE,371618000,9293595,,PA,Panama,3EDG6,Cargo,Vehicles Carrier,58631.0,18944.0,,,199.95,32.2,8.9,8.9,10.7,22.0,2005,False,PANAMA
c014f1f4-9f97-39a5-8544-31573542ecd1,TRAVIATA,TRAVIATA,265012000,9700524,,SE,Sweden,SBJH,Cargo,Vehicles Carrier,73358.0,23889.0,,,199.9,36.5,9.6,9.6,8.4,21.0,2019,False,
2b49bccf-a6da-aa35-b4f4-bcf7d790f60e,ARC INTEGRITY,ARC INTEGRITY,338058000,9332949,,US,USA,KINQ,Cargo,Vehicles Carrier,72118.0,30386.0,,,227.8,32.29,9.7,9.7,12.0,22.0,2008,False,
57facf86-2996-6c7f-bf77-b4d25ae5cff0,TYSLA,TYSLA,249909000,9515400,,MT,Malta,9HA2067,Cargo,Vehicles Carrier,75251.0,43878.0,,,265.0,32.27,10.3,10.3,7.2,22.0,2012,False,VALLETTA
