"header","comment"
"GM17 - zwischen Sankt-Paul-Straße und Landwehrstraße gesperrt, Baustelle, von 18.06.2025 07:00 Uhr bis 01.08.2026 17:00 Uhr, empfohlene Umleitung: an der Martin-Greif-Straße über den Bavariaring. Verlegung von Fernwärme- und Fernkälteleitungen.",""
"A1","Trier - Köln/Koblenz In beiden Richtungen, zwischen Kreuz Wittlich und Anschlussstelle Hasborn, gesperrt, Baustelle, eine Umleitung ist eingerichtet, 03.08.2025 von 07:00 bis 09:30 Uhr"
"A7","Hannover - Flensburg In beiden Richtungen, zwischen Anschlussstelle Hamburg-Waltershof und Anschlussstelle Hamburg-Othmarschen, gesperrt, Baustelle, eine Umleitung ist eingerichtet, von 17.10.2025 22:00 bis 20.10.2025 05:00 Uhr"
"A7","Hannover - Flensburg In beiden Richtungen, zwischen Anschlussstelle Hamburg-Waltershof und Anschlussstelle Hamburg-Othmarschen, gesperrt, Baustelle, eine Umleitung ist eingerichtet, von 07.11.2025 22:00 bis 10.11.2025 05:00 Uhr"
"A7","Hannover - Flensburg In beiden Richtungen, zwischen Anschlussstelle Hamburg-Waltershof und Anschlussstelle Hamburg-Othmarschen, gesperrt, Baustelle, eine Umleitung ist eingerichtet, von 26.09.2025 22:00 bis 29.09.2025 05:00 Uhr"
"A7","Hannover - Flensburg In beiden Richtungen, zwischen Anschlussstelle Hamburg-Waltershof und Anschlussstelle Hamburg-Othmarschen, gesperrt, Baustelle, eine Umleitung ist eingerichtet, von 05.12.2025 22:00 bis 08.12.2025 05:00 Uhr"
"A7","Hamburg - Flensburg In beiden Richtungen, zwischen Anschlussstelle Hamburg-Stellingen und Dreieck Hamburg-Nordwest, gesperrt, Baustelle, eine Umleitung ist eingerichtet, von 14.11.2025 22:00 bis 17.11.2025 05:00 Uhr"
"A7","Hamburg - Flensburg In beiden Richtungen, zwischen Dreieck Hamburg-Nordwest und Anschlussstelle Hamburg-Schnelsen, gesperrt, Baustelle, eine Umleitung ist eingerichtet, von 16.08.2025 22:00 bis 17.08.2025 10:00 Uhr"
"A7","Hamburg - Flensburg In beiden Richtungen, zwischen Dreieck Hamburg-Nordwest und Anschlussstelle Hamburg-Schnelsen, gesperrt, Baustelle, eine Umleitung ist eingerichtet, von 16.08.2025 22:00 bis 17.08.2025 10:00 Uhr"
"A28","Leer - Oldenburg In beiden Richtungen, zwischen Anschlussstelle Bad Zwischenahn-West und Anschlussstelle Neuenkruge, gesperrt, Brückenarbeiten, eine Umleitung ist eingerichtet, von 01.08.2025 18:00 bis 04.08.2025 05:00 Uhr"
"A45","GießenHagen Zwischen Anschlussstelle Lüdenscheid und Anschlussstelle Lüdenscheid-Nord, Richtungsfahrbahn gesperrt, Im Zuge der Sperrung der Talbrücke Rahmede auf der A45, wird der Verkehr über die U16 und U39 geleitet. Bitte verwenden Sie ausschließlich die ausgewiesenen Umleitungen! Hoher Zeitverlust auf den Umfahrungsstrecken durch das Stadtgebiet."
